Employee ID,On Site Frequency,Position Title,Date in service,Business Unit level 1,Business Unit level 2
2002934,Hybrid,Sr. Marketing Specialist II,2013-10-16,Brand 2,Marketing - Brand 2
2002909,Hybrid,Sr. Principal Designer - UX Design,2015-11-18,Corporate,Engineering - Brand 2
3033414,Fully Remote,Sr. Merchandising Specialist I,2023-04-10,Brand 2,Product Merchandising - Brand 2
3015847,Hybrid,"Director, Social Media",2021-10-11,Corporate,Marketing
3031524,Fully Remote,"Director, Engineering",2022-11-28,Corporate,Engineering - Brand 2
3025961,Fully Remote,Sr. Software Development Engineer I,2022-08-29,Corporate,Engineering - Brand 2
2003191,Hybrid,"Director, Finance",2017-08-07,Corporate,Finance
2002166,Hybrid,Partner Marketing Specialist I,2014-09-29,Brand 2,Marketing - Brand 2
2003193,Hybrid,"Spvsr, Customer Service I",2020-08-10,Brand 2,Customer Service - Brand 2
3021784,Fully Remote,Customer Service Representative 3,2022-05-09,Brand 2,Customer Service - Brand 2
2003206,Hybrid,Sr. Growth Marketing Specialist I,2017-03-06,Corporate,Marketing
3031823,Fully Remote,Customer Service Representative 3,2022-12-19,Brand 2,Customer Service - Brand 2
3029349,Fully Remote,Customer Service Representative 4,2022-10-10,Brand 2,Customer Service - Brand 2
2002724,Hybrid,Lead Customer Service Representative 5,2020-06-16,Brand 2,Customer Service - Brand 2
3042370,Fully Remote,"Director, Growth - Brand 2",2023-11-27,Brand 2,Marketing - Brand 2
3029366,Fully Remote,Customer Service Representative 3,2022-10-10,Brand 2,Customer Service - Brand 2
2002893,Hybrid,Customer Service Representative 4,2012-11-26,Brand 2,Customer Service - Brand 2
2003136,Fully Remote,Customer Service Representative 3,2021-02-22,Brand 2,Customer Service - Brand 2
2001013,Hybrid,Data Engineer Director,2004-12-29,Corporate,Enterprise Information Systems
2002394,Hybrid,"Manager, Product Management",2015-03-13,Corporate,Engineering - Brand 2
3042755,Fully Remote,"Manager, CRM",2024-01-08,Brand 2,Marketing - Brand 2
2002643,Hybrid,"Manager, Marketing",2021-05-03,Brand 2,Marketing - Brand 2
2003018,Hybrid,"Sr. Manager, Merchandising",2015-03-04,Brand 2,Product Merchandising - Brand 2
2002937,Hybrid,Sr. Software Development Engineer I,2016-06-23,Corporate,Engineering - Brand 2
3019286,Hybrid,Customer Service Representative 3,2022-01-24,Brand 2,Customer Service - Brand 2
2002620,Hybrid,Sr. Graphic Designer I,2019-11-11,Brand 2,Marketing - Brand 2
3022260,Hybrid,Graphic Designer I,2022-06-20,Brand 2,Marketing - Brand 2
3044059,Fully Remote,"Sr. Manager, Engineering",2024-04-22,Corporate,Engineering - Brand 2
3043340,Fully Remote,Software Development Engineer II,2024-02-20,Corporate,Engineering - Brand 2
3004874,Fully Remote,Customer Service Representative 3,2022-09-12,Brand 2,Customer Service - Brand 2
2000515,Fully Remote,Sr. Marketing Specialist I,2018-09-04,Corporate,Marketing
2002940,Hybrid,"Sr. Manager, Transportation & Logistics",2011-04-27,Corporate,Supply Chain
3007231,Hybrid,Merchandising Specialist I,2021-03-15,Brand 2,Product Merchandising - Brand 2
2003173,Hybrid,"Sr. Manager, Customer Service",2014-03-24,Brand 2,Customer Service - Brand 2
2003000,Fully Remote,Sr. Product Specialist I,2013-02-11,Corporate,Engineering - Brand 2
3029814,Fully Remote,"Director, UX Design",2022-10-31,Corporate,Engineering - Brand 2
2003112,Hybrid,Sr. Account Service Manager I,2021-05-10,Brand 2,Sales - Brand 2
2003198,Hybrid,Customer Service Representative 4,2019-08-21,Brand 2,Customer Service - Brand 2
3009145,Site Critical,Industrial Engineer II,2021-07-06,Operations,Manufacturing Technology
3042739,Fully Remote,Sr. Principal Data Engineer,2024-01-16,Corporate,Engineering - Brand 2
2003199,Hybrid,Customer Service Representative 4,2021-03-01,Brand 2,Customer Service - Brand 2
3004803,Hybrid,"Sr. Director, Human Resources",2020-10-26,Corporate,Human Resources
2002210,Hybrid,Customer Service Representative 4,2018-09-11,Brand 2,Customer Service - Brand 2
2000237,Fully Remote,Art Director II,2020-01-27,Corporate,Engineering - Brand 2
2002252,Hybrid,Customer Service Representative 3,2017-07-25,Brand 2,Customer Service - Brand 2
2002605,Hybrid,Product Manager,2016-03-02,Corporate,Engineering - Brand 2
2003186,Hybrid,Product Specialist II,2014-03-26,Corporate,Engineering - Brand 2
3019186,Hybrid,"Director, Legal",2022-01-18,Corporate,Legal
2002639,Hybrid,"Spvsr, Supply Chain II",2018-07-23,Corporate,Supply Chain
3022701,Fully Remote,Sr. Web Analyst II,2022-07-05,Corporate,Marketing
3023032,Fully Remote,Sr. Software Development Engineer II,2022-07-18,Corporate,Engineering - Brand 2
3027665,Hybrid,"Sr. Director, Optimization",2022-09-19,Corporate,Marketing
2003133,Hybrid,"Sr. Manager, Brand Marketing",2012-06-18,Brand 2,Marketing - Brand 2
3030382,Fully Remote,Principal Software Development Engineer,2022-11-14,Corporate,Engineering - Brand 2
2003137,Hybrid,"Spvsr, Customer Service I",2013-03-04,Brand 2,Customer Service - Brand 2
2003155,Hybrid,"Director, Business Line",2018-11-05,Brand 2,Product Merchandising - Brand 2
2002956,Hybrid,"Manager, Customer Service",2017-05-15,Brand 2,Customer Service - Brand 2
3034698,Fully Remote,Sr. Software Development Engineer I,2023-07-10,Corporate,Engineering - Brand 2
3027478,Fully Remote,Product Manager,2022-09-12,Corporate,Engineering - Brand 2
3023460,Fully Remote,Principal Software Development Engineer,2022-07-25,Corporate,Engineering - Brand 2
2003156,Hybrid,"Manager, Customer Service",2015-03-09,Brand 2,Customer Service - Brand 2
2001983,Hybrid,"Manager, Performance Analytics",2015-11-23,Corporate,Supply Chain
3042810,Fully Remote,Sr. Web Analyst II,2024-02-12,Corporate,Marketing
2001575,Hybrid,Director Finance,2022-05-16,Corporate,Finance
3022812,Fully Remote,Designer II - UX Design,2022-07-18,Corporate,Engineering - Brand 2
3025972,Fully Remote,Sr. Account Service Manager I,2022-08-22,Brand 2,Sales - Brand 2
3029869,Hybrid,Workforce Analyst I,2013-03-05,Brand 2,Customer Service - Brand 2
3043896,Fully Remote,"Sr. Manager, Engineering",2024-04-01,Brand 2,Engineering - Brand 2
2002864,Hybrid,Sr. Environmental Health & Safety Manager,2019-04-29,Operations,Environmental Health & Safety
3044041,Hybrid,Sr. Social Media Specialist II,2024-04-08,Brand 2,Marketing - Brand 2
2003122,Hybrid,Graphic Designer II,2020-12-14,Brand 2,Marketing - Brand 2
3031620,Fully Remote,Graphic Designer I,2022-12-05,Brand 2,Marketing - Brand 2
3037311,Fully Remote,Sr. Principal Software Development Engineer,2023-08-28,Corporate,Engineering - Brand 2
2001039,Hybrid,"Director, Data Engineering",2007-11-26,Corporate,Enterprise Information Systems
2002599,Site Critical,"Director, Quality",2018-06-04,Operations,Manufacturing-Brand 1
2000438,Hybrid,Channel Marketing Director,2020-04-27,Corporate,Marketing
2003154,Hybrid,Sr. Art Director II,2018-04-30,Corporate,Engineering - Brand 2
2003036,Hybrid,"Director, Sales",2021-02-15,Brand 2,Sales - Brand 2
2003148,Hybrid,"Sr. Director, Marketing",2015-11-16,Brand 2,Marketing - Brand 2
3045090,Hybrid,CRM Manager II,2024-07-08,Brand 2,Marketing - Brand 2
2003209,Hybrid,"Manager, Merchandising",2015-11-02,Brand 2,Product Merchandising - Brand 2
2003180,Hybrid,Customer Service Representative 4,2019-08-20,Brand 2,Customer Service - Brand 2
3030188,Hybrid,Designer II - UX Design,2022-10-31,Corporate,Engineering - Brand 2
2003174,Hybrid,Buyer II,2018-04-05,Corporate,Supply Chain
2002330,Fully Remote,Product Manager,2017-06-19,Corporate,Technology
2004721,Hybrid,Sr. Software Engineer II,2014-03-17,Operations,Manufacturing Technology
3021660,Hybrid,"Sr. Director, eCommerce",2022-05-09,Corporate,Engineering - Brand 2
